Scrub_dc_no,Year,Week,Inbound Truckloads
92,2019,1,115
76,2019,1,165
78,2019,1,161
98,2019,1,189
3,2019,1,113
65,2019,1,122
41,2019,1,165
64,2019,1,100
92,2019,2,178
76,2019,2,280
78,2019,2,286
98,2019,2,270
3,2019,2,163
65,2019,2,290
41,2019,2,211
92,2019,3,252
76,2019,3,347
78,2019,3,374
98,2019,3,346
3,2019,3,288
65,2019,3,458
41,2019,3,342
92,2019,4,247
76,2019,4,315
78,2019,4,355
98,2019,4,350
3,2019,4,278
65,2019,4,401
41,2019,4,315
92,2019,5,249
76,2019,5,339
78,2019,5,362
98,2019,5,346
3,2019,5,300
65,2019,5,362
41,2019,5,329
64,2019,5,123
92,2019,6,309
76,2019,6,393
78,2019,6,456
98,2019,6,446
3,2019,6,302
65,2019,6,465
41,2019,6,371
64,2019,6,144
92,2019,7,321
76,2019,7,472
78,2019,7,426
98,2019,7,360
3,2019,7,295
65,2019,7,461
41,2019,7,401
64,2019,7,137
92,2019,8,239
76,2019,8,430
78,2019,8,437
98,2019,8,360
3,2019,8,312
65,2019,8,539
41,2019,8,348
64,2019,8,133
92,2019,9,291
76,2019,9,425
78,2019,9,402
98,2019,9,453
3,2019,9,253
65,2019,9,455
41,2019,9,337
64,2019,9,129
92,2019,10,285
76,2019,10,396
78,2019,10,404
98,2019,10,435
3,2019,10,268
65,2019,10,511
41,2019,10,318
64,2019,10,133
92,2019,11,263
76,2019,11,340
78,2019,11,406
98,2019,11,461
3,2019,11,276
65,2019,11,426
41,2019,11,344
64,2019,11,184
92,2019,12,279
76,2019,12,338
78,2019,12,408
98,2019,12,338
3,2019,12,251
65,2019,12,403
41,2019,12,398
64,2019,12,186
92,2019,13,287
76,2019,13,370
78,2019,13,430
98,2019,13,370
3,2019,13,265
65,2019,13,397
41,2019,13,358
64,2019,13,226
92,2019,14,299
76,2019,14,422
78,2019,14,444
98,2019,14,503
3,2019,14,261
65,2019,14,489
41,2019,14,410
64,2019,14,223
92,2019,15,311
76,2019,15,427
78,2019,15,393
98,2019,15,454
3,2019,15,286
65,2019,15,530
41,2019,15,427
64,2019,15,216
92,2019,16,320
76,2019,16,443
78,2019,16,417
98,2019,16,401
3,2019,16,327
65,2019,16,481
41,2019,16,337
64,2019,16,255
92,2019,17,248
76,2019,17,384
78,2019,17,406
98,2019,17,424
3,2019,17,262
65,2019,17,385
41,2019,17,315
64,2019,17,136
92,2019,19,249
76,2019,19,409
78,2019,19,374
98,2019,19,373
3,2019,19,285
65,2019,19,480
41,2019,19,308
64,2019,19,232
92,2019,20,261
76,2019,20,415
78,2019,20,382
98,2019,20,355
3,2019,20,242
65,2019,20,471
41,2019,20,331
64,2019,20,135
92,2019,21,214
76,2019,21,376
78,2019,21,343
98,2019,21,341
3,2019,21,219
65,2019,21,365
41,2019,21,339
64,2019,21,140
92,2019,22,187
76,2019,22,300
78,2019,22,258
98,2019,22,252
3,2019,22,179
65,2019,22,351
41,2019,22,296
64,2019,22,109
92,2019,23,199
76,2019,23,291
78,2019,23,262
98,2019,23,350
3,2019,23,207
65,2019,23,317
41,2019,23,253
64,2019,23,152
92,2019,24,225
76,2019,24,358
78,2019,24,303
98,2019,24,376
3,2019,24,219
65,2019,24,327
41,2019,24,295
64,2019,24,230
92,2019,25,247
76,2019,25,305
78,2019,25,290
98,2019,25,357
3,2019,25,213
65,2019,25,320
41,2019,25,274
64,2019,25,243
92,2019,26,181
76,2019,26,337
78,2019,26,267
98,2019,26,254
3,2019,26,180
65,2019,26,306
41,2019,26,253
64,2019,26,228
92,2019,27,193
76,2019,27,286
78,2019,27,239
98,2019,27,283
3,2019,27,193
65,2019,27,263
41,2019,27,244
64,2019,27,185
92,2019,28,233
76,2019,28,326
78,2019,28,326
98,2019,28,414
3,2019,28,248
65,2019,28,252
41,2019,28,278
64,2019,28,289
92,2019,29,277
76,2019,29,355
78,2019,29,327
98,2019,29,369
3,2019,29,217
65,2019,29,266
41,2019,29,357
64,2019,29,304
92,2019,30,237
76,2019,30,384
78,2019,30,344
98,2019,30,335
3,2019,30,269
65,2019,30,282
41,2019,30,215
64,2019,30,302
92,2019,31,178
76,2019,31,396
78,2019,31,223
98,2019,31,271
3,2019,31,224
65,2019,31,334
41,2019,31,256
64,2019,31,298
92,2019,32,178
76,2019,32,318
78,2019,32,308
98,2019,32,387
3,2019,32,209
65,2019,32,250
41,2019,32,229
64,2019,32,294
92,2019,33,276
76,2019,33,386
78,2019,33,319
98,2019,33,349
3,2019,33,178
65,2019,33,316
41,2019,33,260
64,2019,33,254
92,2019,34,237
76,2019,34,333
78,2019,34,301
98,2019,34,361
3,2019,34,325
65,2019,34,313
41,2019,34,253
64,2019,34,260
92,2019,35,262
76,2019,35,306
78,2019,35,306
98,2019,35,388
3,2019,35,34
65,2019,35,269
41,2019,35,276
64,2019,35,296
92,2019,36,279
76,2019,36,350
78,2019,36,303
98,2019,36,325
3,2019,36,302
65,2019,36,313
41,2019,36,312
64,2019,36,309
92,2019,37,169
76,2019,37,367
78,2019,37,322
98,2019,37,299
3,2019,37,218
65,2019,37,254
41,2019,37,298
64,2019,37,296
92,2019,38,220
76,2019,38,342
78,2019,38,342
98,2019,38,286
3,2019,38,258
65,2019,38,304
41,2019,38,299
64,2019,38,296
92,2019,39,195
76,2019,39,311
78,2019,39,310
98,2019,39,285
3,2019,39,161
65,2019,39,281
41,2019,39,289
64,2019,39,296
92,2019,40,220
76,2019,40,297
78,2019,40,274
98,2019,40,310
3,2019,40,164
65,2019,40,236
41,2019,40,249
64,2019,40,234
92,2019,41,273
76,2019,41,377
78,2019,41,367
98,2019,41,410
3,2019,41,249
65,2019,41,283
41,2019,41,282
64,2019,41,299
92,2019,42,213
76,2019,42,450
78,2019,42,362
98,2019,42,350
3,2019,42,260
65,2019,42,383
41,2019,42,322
64,2019,42,298
92,2019,43,215
76,2019,43,373
78,2019,43,362
98,2019,43,393
3,2019,43,222
65,2019,43,310
41,2019,43,328
64,2019,43,297
92,2019,45,296
76,2019,45,387
78,2019,45,297
98,2019,45,363
3,2019,45,238
65,2019,45,322
41,2019,45,388
64,2019,45,342
92,2019,46,308
76,2019,46,386
78,2019,46,372
98,2019,46,474
3,2019,46,273
65,2019,46,342
41,2019,46,348
64,2019,46,359
92,2019,48,274
76,2019,48,295
78,2019,48,333
98,2019,48,303
3,2019,48,244
65,2019,48,307
41,2019,48,384
64,2019,48,309
92,2019,49,227
76,2019,49,334
78,2019,49,235
98,2019,49,285
3,2019,49,244
65,2019,49,229
41,2019,49,277
64,2019,49,208
92,2019,50,236
76,2019,50,311
78,2019,50,288
98,2019,50,449
3,2019,50,175
65,2019,50,286
41,2019,50,288
64,2019,50,241
92,2019,51,209
76,2019,51,341
78,2019,51,276
98,2019,51,326
3,2019,51,226
65,2019,51,269
41,2019,51,323
64,2019,51,299
92,2019,52,165
76,2019,52,343
78,2019,52,232
98,2019,52,249
3,2019,52,136
65,2019,52,226
41,2019,52,264
64,2019,52,170
92,2020,1,202
76,2020,1,343
78,2020,1,267
98,2020,1,310
3,2020,1,154
65,2020,1,199
41,2020,1,213
64,2020,1,170
92,2020,2,269
76,2020,2,298
78,2020,2,386
98,2020,2,406
3,2020,2,193
65,2020,2,253
41,2020,2,278
64,2020,2,256
92,2020,3,269
76,2020,3,298
78,2020,3,386
98,2020,3,406
3,2020,3,193
65,2020,3,253
41,2020,3,278
64,2020,3,256
92,2020,4,278
76,2020,4,340
78,2020,4,369
98,2020,4,392
3,2020,4,239
65,2020,4,349
41,2020,4,361
64,2020,4,287
92,2020,5,314
76,2020,5,382
78,2020,5,336
98,2020,5,378
3,2020,5,236
65,2020,5,338
41,2020,5,346
64,2020,5,306
92,2020,6,421
76,2020,6,431
78,2020,6,419
98,2020,6,394
3,2020,6,311
65,2020,6,379
41,2020,6,434
64,2020,6,311
92,2020,7,421
76,2020,7,431
78,2020,7,419
98,2020,7,394
3,2020,7,311
65,2020,7,379
41,2020,7,434
64,2020,7,311
92,2020,8,314
76,2020,8,504
78,2020,8,352
98,2020,8,383
3,2020,8,297
65,2020,8,370
41,2020,8,318
64,2020,8,288
92,2020,9,302
76,2020,9,330
78,2020,9,390
98,2020,9,357
3,2020,9,307
65,2020,9,308
41,2020,9,367
64,2020,9,317
92,2020,10,322
76,2020,10,381
78,2020,10,357
98,2020,10,364
3,2020,10,300
65,2020,10,352
41,2020,10,367
64,2020,10,306
92,2020,11,322
76,2020,11,381
78,2020,11,357
98,2020,11,364
3,2020,11,300
65,2020,11,352
41,2020,11,367
64,2020,11,306
92,2020,12,279
76,2020,12,282
78,2020,12,346
98,2020,12,379
3,2020,12,238
65,2020,12,374
41,2020,12,383
64,2020,12,316
92,2020,13,372
76,2020,13,366
78,2020,13,376
98,2020,13,431
3,2020,13,270
65,2020,13,383
41,2020,13,419
64,2020,13,352
92,2020,14,357
76,2020,14,444
78,2020,14,387
98,2020,14,453
3,2020,14,322
65,2020,14,438
41,2020,14,379
64,2020,14,388
92,2020,15,398
76,2020,15,454
78,2020,15,446
98,2020,15,500
3,2020,15,338
65,2020,15,457
41,2020,15,414
64,2020,15,373
92,2020,16,269
76,2020,16,463
78,2020,16,429
98,2020,16,349
3,2020,16,256
65,2020,16,446
41,2020,16,484
64,2020,16,348
92,2020,17,317
76,2020,17,408
78,2020,17,376
98,2020,17,472
3,2020,17,280
65,2020,17,335
41,2020,17,397
64,2020,17,401
92,2020,18,327
76,2020,18,502
78,2020,18,473
98,2020,18,468
3,2020,18,272
65,2020,18,481
41,2020,18,405
64,2020,18,397
92,2020,19,317
76,2020,19,484
78,2020,19,507
98,2020,19,501
3,2020,19,289
65,2020,19,429
41,2020,19,433
64,2020,19,352
92,2020,20,376
76,2020,20,488
78,2020,20,448
98,2020,20,481
3,2020,20,315
65,2020,20,410
41,2020,20,410
64,2020,20,396
92,2020,21,365
76,2020,21,473
78,2020,21,427
98,2020,21,540
3,2020,21,325
65,2020,21,399
41,2020,21,432
64,2020,21,388
92,2020,22,272
76,2020,22,409
78,2020,22,322
98,2020,22,387
3,2020,22,213
65,2020,22,364
41,2020,22,375
64,2020,22,390
92,2020,23,247
76,2020,23,505
78,2020,23,437
98,2020,23,499
3,2020,23,254
65,2020,23,386
41,2020,23,374
64,2020,23,325
92,2020,24,249
76,2020,24,392
78,2020,24,445
98,2020,24,508
3,2020,24,260
65,2020,24,428
41,2020,24,372
64,2020,24,368
92,2020,25,264
76,2020,25,408
78,2020,25,388
98,2020,25,391
3,2020,25,292
65,2020,25,399
41,2020,25,383
64,2020,25,373
92,2020,26,245
76,2020,26,410
78,2020,26,437
98,2020,26,402
3,2020,26,288
65,2020,26,314
41,2020,26,386
64,2020,26,375
92,2020,27,271
76,2020,27,531
78,2020,27,397
98,2020,27,468
3,2020,27,285
65,2020,27,334
41,2020,27,357
64,2020,27,349
92,2020,28,317
76,2020,28,444
78,2020,28,385
98,2020,28,428
3,2020,28,242
65,2020,28,389
41,2020,28,318
64,2020,28,349
92,2020,29,314
76,2020,29,405
78,2020,29,438
98,2020,29,433
3,2020,29,280
65,2020,29,394
41,2020,29,353
64,2020,29,309
92,2020,30,333
76,2020,30,465
78,2020,30,340
98,2020,30,449
3,2020,30,317
65,2020,30,443
41,2020,30,372
64,2020,30,359
92,2020,31,318
76,2020,31,397
78,2020,31,369
98,2020,31,392
3,2020,31,277
65,2020,31,418
41,2020,31,379
64,2020,31,330
92,2020,32,318
76,2020,32,362
78,2020,32,459
98,2020,32,471
3,2020,32,307
65,2020,32,480
41,2020,32,375
64,2020,32,389
92,2020,33,359
76,2020,33,400
78,2020,33,461
98,2020,33,445
3,2020,33,293
65,2020,33,425
41,2020,33,387
64,2020,33,329
92,2020,34,276
76,2020,34,547
78,2020,34,379
98,2020,34,456
3,2020,34,320
65,2020,34,412
41,2020,34,405
64,2020,34,295
92,2020,35,379
76,2020,35,446
78,2020,35,437
98,2020,35,525
3,2020,35,439
65,2020,35,460
41,2020,35,389
64,2020,35,267
92,2020,36,393
76,2020,36,404
78,2020,36,456
98,2020,36,478
3,2020,36,334
65,2020,36,480
41,2020,36,396
64,2020,36,334
92,2020,37,328
76,2020,37,394
78,2020,37,427
98,2020,37,379
3,2020,37,313
65,2020,37,463
41,2020,37,361
64,2020,37,388
92,2020,38,276
76,2020,38,416
78,2020,38,450
98,2020,38,420
3,2020,38,369
65,2020,38,496
41,2020,38,410
64,2020,38,271
92,2020,39,324
76,2020,39,411
78,2020,39,405
98,2020,39,479
3,2020,39,268
65,2020,39,422
41,2020,39,433
64,2020,39,271
92,2020,40,287
76,2020,40,410
78,2020,40,438
98,2020,40,431
3,2020,40,330
65,2020,40,443
41,2020,40,420
64,2020,40,453
92,2020,41,305
76,2020,41,397
78,2020,41,446
98,2020,41,471
3,2020,41,333
65,2020,41,437
41,2020,41,401
64,2020,41,400
92,2020,42,305
76,2020,42,440
78,2020,42,458
98,2020,42,475
3,2020,42,327
65,2020,42,501
41,2020,42,473
64,2020,42,350
92,2020,43,524
76,2020,43,401
78,2020,43,418
98,2020,43,502
3,2020,43,356
65,2020,43,409
41,2020,43,433
64,2020,43,404
92,2020,44,354
76,2020,44,383
78,2020,44,416
98,2020,44,439
3,2020,44,302
65,2020,44,468
41,2020,44,400
64,2020,44,397
92,2020,45,346
76,2020,45,370
78,2020,45,444
98,2020,45,350
3,2020,45,416
65,2020,45,416
41,2020,45,401
64,2020,45,412
92,2020,46,348
76,2020,46,409
78,2020,46,467
98,2020,46,494
3,2020,46,366
65,2020,46,404
41,2020,46,441
64,2020,46,483
92,2020,47,367
76,2020,47,372
78,2020,47,475
98,2020,47,540
3,2020,47,361
65,2020,47,520
41,2020,47,408
64,2020,47,475
92,2020,48,349
76,2020,48,286
78,2020,48,350
98,2020,48,361
3,2020,48,292
65,2020,48,408
41,2020,48,289
64,2020,48,351
92,2020,49,353
76,2020,49,355
78,2020,49,357
98,2020,49,370
3,2020,49,274
65,2020,49,417
41,2020,49,375
64,2020,49,336
92,2020,50,345
76,2020,50,354
78,2020,50,421
98,2020,50,449
3,2020,50,313
65,2020,50,395
41,2020,50,444
64,2020,50,314
92,2020,51,361
76,2020,51,305
78,2020,51,458
98,2020,51,374
3,2020,51,228
65,2020,51,334
41,2020,51,397
64,2020,51,343
92,2020,52,284
76,2020,52,210
78,2020,52,330
98,2020,52,298
3,2020,52,210
65,2020,52,225
41,2020,52,208
64,2020,52,203
92,2021,1,292
76,2021,1,201
78,2021,1,328
98,2021,1,281
3,2021,1,152
65,2021,1,225
41,2021,1,277
64,2021,1,254
92,2021,2,297
76,2021,2,329
78,2021,2,407
98,2021,2,536
3,2021,2,278
65,2021,2,407
41,2021,2,371
64,2021,2,305
92,2021,3,369
76,2021,3,387
78,2021,3,360
98,2021,3,539
3,2021,3,285
65,2021,3,323
41,2021,3,463
64,2021,3,344
92,2021,4,350
76,2021,4,369
78,2021,4,455
98,2021,4,486
3,2021,4,319
65,2021,4,428
41,2021,4,425
64,2021,4,411
92,2021,5,391
76,2021,5,411
78,2021,5,435
98,2021,5,491
3,2021,5,457
65,2021,5,452
41,2021,5,452
64,2021,5,370
92,2021,6,407
76,2021,6,473
78,2021,6,441
98,2021,6,605
3,2021,6,445
65,2021,6,382
41,2021,6,507
64,2021,6,423
92,2021,7,382
76,2021,7,396
78,2021,7,441
98,2021,7,436
3,2021,7,335
65,2021,7,340
41,2021,7,456
64,2021,7,387
92,2021,8,340
76,2021,8,288
78,2021,8,465
98,2021,8,241
3,2021,8,284
65,2021,8,401
41,2021,8,226
64,2021,8,389
92,2021,9,353
76,2021,9,424
78,2021,9,477
98,2021,9,516
3,2021,9,320
65,2021,9,435
41,2021,9,420
64,2021,9,399
92,2021,10,304
76,2021,10,462
78,2021,10,455
98,2021,10,589
3,2021,10,290
65,2021,10,478
41,2021,10,455
64,2021,10,444
92,2021,11,320
76,2021,11,464
78,2021,11,451
98,2021,11,601
3,2021,11,303
65,2021,11,422
41,2021,11,506
64,2021,11,417
92,2021,12,317
76,2021,12,424
78,2021,12,494
98,2021,12,563
3,2021,12,306
65,2021,12,372
41,2021,12,502
64,2021,12,409
92,2021,13,307
76,2021,13,397
78,2021,13,444
98,2021,13,543
3,2021,13,276
65,2021,13,431
41,2021,13,420
64,2021,13,390
92,2021,14,323
76,2021,14,389
78,2021,14,428
98,2021,14,521
3,2021,14,370
65,2021,14,357
41,2021,14,470
64,2021,14,356
92,2021,15,310
76,2021,15,401
78,2021,15,444
98,2021,15,606
3,2021,15,311
65,2021,15,441
41,2021,15,472
64,2021,15,405
92,2021,16,334
76,2021,16,425
78,2021,16,441
98,2021,16,545
3,2021,16,273
65,2021,16,380
41,2021,16,512
64,2021,16,393
92,2021,17,327
76,2021,17,476
78,2021,17,489
98,2021,17,554
3,2021,17,395
65,2021,17,351
41,2021,17,472
64,2021,17,426
92,2021,18,377
76,2021,18,466
78,2021,18,535
98,2021,18,638
3,2021,18,400
65,2021,18,417
41,2021,18,486
64,2021,18,474
92,2021,19,411
76,2021,19,377
78,2021,19,449
98,2021,19,589
3,2021,19,330
65,2021,19,485
41,2021,19,468
64,2021,19,493
92,2021,20,381
76,2021,20,472
78,2021,20,433
98,2021,20,527
3,2021,20,354
65,2021,20,499
41,2021,20,435
64,2021,20,462
92,2021,21,279
76,2021,21,460
78,2021,21,463
98,2021,21,559
3,2021,21,318
65,2021,21,468
41,2021,21,452
64,2021,21,455
92,2021,22,307
76,2021,22,492
78,2021,22,387
98,2021,22,539
3,2021,22,364
65,2021,22,446
41,2021,22,417
64,2021,22,467
92,2021,23,245
76,2021,23,418
78,2021,23,438
98,2021,23,555
3,2021,23,385
65,2021,23,444
41,2021,23,457
64,2021,23,444
92,2021,24,265
76,2021,24,477
78,2021,24,457
98,2021,24,551
3,2021,24,314
65,2021,24,527
41,2021,24,465
64,2021,24,462
92,2021,25,310
76,2021,25,427
78,2021,25,394
98,2021,25,502
3,2021,25,271
65,2021,25,442
41,2021,25,421
64,2021,25,443
92,2021,26,291
76,2021,26,409
78,2021,26,386
98,2021,26,492
3,2021,26,290
65,2021,26,363
41,2021,26,394
64,2021,26,340
92,2021,27,266
76,2021,27,400
78,2021,27,389
98,2021,27,491
3,2021,27,291
65,2021,27,268
41,2021,27,361
64,2021,27,359
92,2021,28,239
76,2021,28,355
78,2021,28,349
98,2021,28,401
3,2021,28,284
65,2021,28,244
41,2021,28,334
64,2021,28,329
92,2021,29,254
76,2021,29,411
78,2021,29,363
98,2021,29,477
3,2021,29,237
65,2021,29,272
41,2021,29,387
64,2021,29,372
92,2021,30,291
76,2021,30,404
78,2021,30,404
98,2021,30,477
3,2021,30,313
65,2021,30,331
41,2021,30,351
64,2021,30,373
92,2021,31,268
76,2021,31,391
78,2021,31,348
98,2021,31,482
3,2021,31,285
65,2021,31,318
41,2021,31,335
64,2021,31,378
92,2021,32,237
76,2021,32,406
78,2021,32,330
98,2021,32,450
3,2021,32,309
65,2021,32,367
41,2021,32,317
64,2021,32,431
92,2021,33,269
76,2021,33,424
78,2021,33,372
98,2021,33,502
3,2021,33,254
65,2021,33,342
41,2021,33,360
64,2021,33,399
92,2021,34,267
76,2021,34,456
78,2021,34,368
98,2021,34,541
3,2021,34,292
65,2021,34,387
41,2021,34,390
64,2021,34,405
